problem_id,game,target,studyType
1977.0,VENDINGMACHINEGA,라면,0
1978.0,VENDINGMACHINEGA,팬티,0
1979.0,VENDINGMACHINEGA,씹어,0
1980.0,VENDINGMACHINEGA,우산,0
1981.0,PEAGAME,거인,0
1982.0,PEAGAME,매다,0
1983.0,PEAGAME,신나,0
1984.0,PEAGAME,자다,0
1985.0,PEAGAME,만두,0
1986.0,VENDINGMACHINEGA,갑자기,1
1987.0,VENDINGMACHINEGA,돈가스,1
1988.0,VENDINGMACHINEGA,신기해,1
1989.0,VENDINGMACHINEGA,만나자,1
1990.0,VENDINGMACHINEGA,무겁다,1
1991.0,PEAGAME,무섭다,0
1992.0,PEAGAME,오렌지,0
1993.0,PEAGAME,사진기,0
1994.0,PEAGAME,더럽네,0
1995.0,PEAGAME,어린이,0
1996.0,VENDINGMACHINEGA,어린이,0
1997.0,VENDINGMACHINEGA,배고픈,0
1998.0,VENDINGMACHINEGA,신나는,0
1999.0,VENDINGMACHINEGA,두껍고,0
2000.0,VENDINGMACHINEGA,무서운,0
2001.0,PEAGAME,신기해,0
2002.0,PEAGAME,가벼운,0
2003.0,PEAGAME,돈가스,0
2004.0,PEAGAME,가깝다,0
2005.0,PEAGAME,만나서,0
2006.0,VENDINGMACHINEGA,할래,1
2007.0,VENDINGMACHINEGA,쏟아,1
2008.0,VENDINGMACHINEGA,여행,1
2009.0,VENDINGMACHINEGA,종이,1
2010.0,VENDINGMACHINEGA,퍼즐,1
2011.0,VENDINGMACHINEGA,대장,0
2012.0,VENDINGMACHINEGA,구멍,0
2013.0,VENDINGMACHINEGA,올려,0
2014.0,VENDINGMACHINEGA,닫아,0
2015.0,VENDINGMACHINEGA,술래,0
2016.0,VENDINGMACHINEGA,병아리,1
2017.0,VENDINGMACHINEGA,날아가,1
2018.0,VENDINGMACHINEGA,물고기,1
2019.0,VENDINGMACHINEGA,고양이,1
2020.0,VENDINGMACHINEGA,이상해,1
2021.0,PEAGAME,얼마야,0
2022.0,PEAGAME,강아지,0
2023.0,PEAGAME,자동차,0
2024.0,PEAGAME,애벌레,0
2025.0,PEAGAME,비행기,0
2026.0,VENDINGMACHINEGA,놀이터,0
2027.0,VENDINGMACHINEGA,구급차,0
2028.0,VENDINGMACHINEGA,물려요,0
2029.0,VENDINGMACHINEGA,호랑이,0
2030.0,VENDINGMACHINEGA,올라가,0
2031.0,PEAGAME,비누칠,0
2032.0,PEAGAME,말해요,0
2033.0,PEAGAME,으르렁,0
2034.0,PEAGAME,슬프다,0
